@relation sites-classification

@attribute nomeArquivoPossuiPalavraUser {s,n}
@attribute possuiPalavraScience {s,n}
@attribute possuiPalavraSyllabus {s,n}
@attribute possuiPalavraHomework {s,n}
@attribute possuiPalavraHours {s,n}
@attribute possuiMaisDe6Imagens {s,n}
@attribute possuiPalavraProfessor {s,n}
@attribute possuiPalavraWorking {s,n}
@attribute possuiPalavraE-mailOuEmail {s,n}
@attribute possuiPalavraWill {s,n}
@attribute possuiPalavraExam {s,n}
@attribute nomeArquivoPossuiPalavraCourse {s,n}
@attribute possuiPalavraResearch {s,n}
@attribute nomeArquivoPossuiPalavraProjectOuProjects {s,n}
@attribute possuiPalavraDepartment {s,n}
@attribute possuiPalavraProgramming {s,n}
@attribute possuiPalavraIntroduction {s,n}
@attribute nomeArquivoPossuiPalavraFaculty {s,n}
@attribute nomeArquivoPossuiPalavraPeople {s,n}
@attribute nomeArquivoPossuiPalavraCSMaisUmNumero {s,n}
@attribute possuiPalavraI {s,n}
@attribute possuiPalavraGradeOuGrades {s,n}
@attribute possuiPalavraProjectOuProjects {s,n}
@attribute possuiPalavraMe {s,n}
@attribute tamanhoArquivoMaiorQue5000Bytes {s,n}
@attribute possuiPalavraIam {s,n}
@attribute possuiPalavraWe {s,n}
@attribute possuiMaisDe17Links {s,n}
@attribute possuiMaisDe3Imagens {s,n}
@attribute possuiPalavraInstructorOrInstructors {s,n}
@attribute possuiPalavraPrerequisites {s,n}
@attribute possuiPalavraCurrently {s,n}
@attribute possuiPalavraMember {s,n}
@attribute possuiMaisDe22Links {s,n}
@attribute possuiPalavraMy {s,n}
@attribute possuiMaisDe150Palavras {s,n}
@attribute possuiPalavraCourseOuCourses {s,n}
@attribute possuiPalavraInterestOuInterests {s,n}
@attribute possuiPalavraFaculty {s,n}
@attribute classification {course,department,faculty,other,project,staff,student}

@data
n,s,n,n,s,n,s,n,n,s,n,n,n,n,s,n,n,n,n,s,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,s,s,n,n,course
n,n,n,n,n,n,s,n,s,s,n,s,n,n,n,n,n,n,n,n,n,n,s,n,n,n,s,n,n,n,n,n,n,n,n,s,s,n,n,course
n,s,n,n,n,s,n,n,s,s,s,n,n,n,n,s,n,n,n,s,n,n,n,n,s,n,n,n,s,n,n,n,n,n,n,s,s,n,n,course
n,s,n,s,n,n,n,n,s,n,s,n,n,n,n,n,n,n,n,s,n,s,s,n,n,n,n,n,n,s,n,n,n,n,n,s,s,n,n,course
n,n,n,s,s,n,n,n,n,s,n,n,n,n,n,n,n,n,n,s,s,s,s,n,s,n,s,s,n,s,n,n,n,s,n,s,s,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,course
n,n,s,s,n,n,s,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,course
n,n,n,s,s,n,n,n,s,s,s,n,n,n,n,n,n,n,n,s,n,s,n,n,s,n,s,s,s,s,n,n,n,s,n,s,s,n,n,course
n,s,s,n,n,n,n,n,n,s,n,n,s,n,n,n,n,n,n,s,n,n,s,n,n,n,n,n,n,s,n,s,n,n,n,s,s,n,n,course
n,n,n,n,n,n,s,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,course
n,n,s,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,s,s,n,n,n,n,n,n,n,s,s,n,n,n,n,n,n,n,n,n,course
n,n,s,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,course
n,n,s,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,course
n,n,s,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,course
n,n,s,n,n,n,n,n,n,s,s,n,n,n,n,n,s,n,n,s,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,s,n,n,course
n,n,n,s,s,s,n,n,s,n,n,s,s,n,n,s,s,n,n,n,n,n,s,s,n,n,n,n,s,s,s,n,n,n,n,n,s,n,n,course
n,n,n,s,s,s,n,n,n,s,s,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,s,n,s,n,n,n,n,n,n,s,s,s,n,course
n,s,n,n,n,n,n,n,n,s,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,s,s,s,n,n,n,n,n,n,n,s,n,n,course
n,s,n,n,n,s,n,n,n,n,n,n,n,n,s,n,s,n,n,n,n,n,n,n,s,n,s,n,s,s,n,n,n,n,n,s,s,n,n,course
n,n,s,n,s,n,n,n,s,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,s,n,n,course
n,s,s,n,n,n,n,n,s,n,s,n,n,n,s,n,s,n,n,n,n,n,s,n,s,n,n,s,s,s,n,n,n,s,n,n,s,n,n,course
n,s,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,course
n,s,s,s,s,n,s,n,s,s,s,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,s,n,n,n,n,n,n,s,n,n,course
n,n,n,n,s,s,n,n,n,s,n,n,n,n,n,n,s,n,n,n,s,s,n,n,s,n,s,n,s,s,s,n,n,n,n,s,s,n,n,course
n,s,n,n,n,n,n,n,s,n,n,n,n,n,s,s,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,s,n,n,course
n,s,s,n,s,n,n,n,s,n,n,n,n,n,s,s,s,n,n,n,n,n,s,n,n,n,n,n,n,s,s,n,n,n,n,n,s,n,n,course
n,s,s,s,s,n,n,n,s,s,n,n,n,n,n,s,s,n,n,n,n,n,n,n,n,n,s,n,s,s,n,n,n,n,n,n,s,n,n,course
n,s,n,n,s,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,course
n,s,s,n,n,n,n,n,s,n,n,n,n,n,s,n,n,n,n,n,n,n,s,n,n,n,n,n,s,s,n,s,s,n,n,n,s,n,s,course
n,s,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,course
n,n,s,n,n,s,n,n,n,s,n,n,n,n,n,s,n,n,n,n,n,n,n,s,s,n,s,s,s,s,n,n,n,s,n,s,s,n,n,course
n,s,n,s,s,n,s,n,s,n,n,n,n,n,s,n,n,n,n,n,n,n,s,n,n,n,n,n,n,s,n,n,n,n,s,n,s,n,n,course
n,n,s,s,s,n,n,n,s,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,s,n,n,course
n,n,n,s,n,s,n,n,s,n,s,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,s,n,n,n,n,n,n,n,s,n,n,course
n,n,n,s,s,s,s,n,s,s,s,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,s,s,n,n,n,n,n,s,s,n,n,course
n,n,s,s,n,s,n,n,n,n,s,n,n,n,n,s,s,n,n,n,n,n,n,n,s,n,n,s,s,s,n,n,n,s,n,s,s,n,n,course
n,n,n,s,s,n,s,n,s,n,n,n,n,n,n,n,s,n,n,n,n,n,s,n,s,n,n,s,n,n,n,n,n,s,n,n,n,n,n,course
n,n,s,s,s,n,n,n,s,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,s,n,s,n,n,n,s,n,n,s,n,n,course
n,n,n,s,n,s,n,n,s,n,s,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,s,s,n,n,n,n,n,n,s,n,n,course
n,n,n,s,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,s,n,n,n,n,n,n,n,s,n,n,course
n,n,n,n,s,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,course
n,n,n,n,s,n,s,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,course
n,s,n,s,n,n,s,n,s,s,n,n,n,n,n,n,s,n,n,n,n,n,s,n,s,n,n,s,n,n,n,n,n,s,n,s,s,n,n,course
n,n,n,s,s,n,n,n,s,s,s,n,n,n,n,s,n,n,n,n,n,n,s,n,n,n,n,n,n,s,n,n,n,n,n,n,s,s,n,course
n,n,n,s,s,n,s,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,s,n,n,n,n,n,n,n,s,s,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,course
n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,s,n,n,n,n,n,n,s,n,n,n,n,n,n,s,n,n,course
n,n,s,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,s,n,n,course
n,n,n,n,s,n,n,n,s,n,s,n,n,n,n,n,n,n,n,n,n,s,s,n,n,n,n,n,n,s,n,n,n,n,n,n,s,n,n,course
n,n,n,s,n,n,n,n,s,n,n,n,s,n,n,s,n,n,n,n,n,n,s,n,s,n,n,s,n,s,n,n,n,s,n,s,s,n,n,course
n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,course
n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,s,s,n,n,s,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,s,n,n,s,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,s,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,s,n,n,s,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,course
n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,course
n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,s,s,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,course
n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,s,s,n,n,s,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,s,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,s,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,s,n,n,s,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,s,n,n,s,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,s,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,s,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,s,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,s,n,n,s,n,n,s,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,s,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,course
n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,s,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,s,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,s,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,s,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,s,n,n,s,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,s,n,n,s,n,n,s,n,n,n,n,n,s,n,n,n,n,n,n,n,s,n,n,course
n,s,s,s,s,n,s,n,s,s,n,n,n,n,s,s,s,n,n,s,s,s,n,n,s,n,s,s,n,n,s,n,n,s,n,s,s,n,n,course
n,n,n,s,s,n,n,n,n,n,n,n,n,n,n,n,s,n,n,s,s,n,n,n,s,n,n,s,n,s,n,n,n,s,s,s,s,n,n,course
n,n,n,s,s,n,n,n,n,s,n,n,n,n,n,s,s,n,n,s,n,n,n,s,s,n,n,s,n,s,n,n,n,s,n,s,s,n,n,course
n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,s,n,n,s,n,s,s,n,n,n,n,n,s,s,n,n,n,n,n,n,s,n,n,course
n,n,n,n,n,n,s,n,s,s,n,n,n,n,n,s,n,n,n,s,n,s,s,n,n,n,s,n,n,n,s,n,n,n,n,s,s,n,n,course
n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,s,n,n,s,n,n,n,n,n,s,n,n,n,n,n,n,n,s,n,n,course
n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,s,n,n,n,s,n,n,n,s,n,s,n,n,n,n,s,n,n,n,n,course
n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,s,n,n,s,n,n,n,n,n,n,n,s,n,s,n,n,n,n,n,n,s,n,n,course
n,n,n,n,n,s,s,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,s,n,s,n,n,n,n,n,n,n,n,n,n,course
n,n,s,s,n,n,s,n,s,n,n,n,n,n,s,n,n,n,n,n,n,n,s,n,n,n,n,s,n,s,n,n,n,n,n,n,s,n,n,course
n,s,n,n,n,n,n,s,n,s,n,s,n,n,s,s,n,n,n,s,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,s,s,n,n,course
n,s,n,s,n,n,n,n,n,s,s,s,s,n,s,n,n,n,n,s,n,n,n,n,n,n,n,n,n,s,s,n,n,n,n,s,s,n,n,course
n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,s,n,n,s,n,n,n,n,n,n,s,n,n,n,n,n,n,s,n,n,course
n,s,n,n,n,n,n,n,n,n,n,s,n,n,s,n,n,n,n,s,n,n,s,n,n,n,n,n,n,s,n,n,n,n,n,n,s,n,n,course
n,n,n,n,n,n,n,n,n,n,n,s,s,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,s,n,course
n,s,s,n,n,n,n,n,n,n,n,s,n,n,s,n,n,n,n,s,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,s,n,n,course
n,s,s,n,n,n,n,s,n,s,n,s,s,n,s,n,n,n,n,s,n,n,s,s,n,n,n,n,n,s,n,n,n,n,n,s,s,n,n,course
n,s,n,n,n,n,n,n,n,n,n,n,s,n,s,n,n,n,n,n,n,n,s,n,s,n,n,s,n,n,n,n,n,s,n,s,s,n,n,course
n,n,s,n,s,n,n,n,s,n,n,n,n,n,n,s,n,n,n,n,s,n,n,n,n,n,n,n,n,s,s,n,n,n,s,s,s,n,n,course
n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,s,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,course
n,n,n,s,s,n,s,n,s,s,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,s,n,s,n,n,n,n,n,n,s,n,n,course
n,n,n,n,s,n,n,n,n,n,s,n,n,n,n,n,n,n,n,s,n,n,s,n,s,n,n,s,n,n,n,n,n,s,n,s,s,n,n,course
n,s,n,n,s,n,n,n,s,s,s,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,s,n,n,s,n,n,n,n,n,n,s,n,n,course
n,n,n,s,s,n,s,n,s,s,s,n,s,n,s,s,s,n,n,s,n,n,s,n,s,n,n,s,n,s,s,n,n,s,n,s,s,n,n,course
n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,course
n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,course
n,n,s,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,s,n,n,n,n,n,n,s,n,n,course
n,n,s,n,n,n,n,n,s,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,s,n,s,n,n,n,s,n,n,s,n,n,course
n,n,s,s,n,n,s,n,s,s,n,n,n,n,s,s,n,n,n,s,s,n,n,s,s,n,n,n,n,n,n,n,n,n,s,s,s,n,n,course
n,n,s,s,n,n,s,n,n,n,n,n,n,n,s,n,n,n,n,s,n,s,n,s,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,course
n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,s,n,n,n,n,n,n,n,s,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,s,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,s,n,n,n,n,n,n,n,s,n,n,course
n,n,n,s,s,n,n,n,n,s,s,s,n,n,n,s,n,n,n,n,s,s,s,s,s,s,s,n,n,s,s,n,n,n,n,s,s,s,n,course
n,n,n,n,s,n,s,s,s,s,s,s,n,n,n,s,s,n,n,n,n,s,s,n,s,n,s,n,n,s,s,n,n,n,s,s,s,n,n,course
n,n,n,s,n,n,n,n,s,s,s,s,n,n,n,n,n,n,n,n,s,s,n,s,s,s,s,n,n,s,s,n,n,n,s,s,s,n,n,course
n,n,s,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,course
n,n,s,s,n,n,n,n,n,s,n,n,n,n,s,s,n,n,n,n,s,s,n,n,n,n,s,n,n,s,n,n,n,n,s,n,s,n,n,course
n,n,s,n,n,n,n,n,n,s,s,n,n,n,n,s,n,n,n,n,n,n,s,n,n,n,s,n,n,s,s,n,n,n,n,s,s,n,n,course
n,s,s,s,n,n,n,n,n,s,n,n,n,n,n,s,s,n,n,n,n,n,n,n,n,n,n,n,n,s,s,n,n,n,n,n,s,n,n,course
n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,s,n,n,s,n,n,course
n,n,s,n,s,n,n,n,n,n,n,s,n,n,n,s,n,n,n,s,n,n,n,n,s,n,s,s,n,n,s,n,n,s,n,n,s,n,n,course
n,s,n,s,s,n,n,n,s,s,s,n,n,n,n,n,n,n,n,n,s,s,s,n,s,n,n,n,n,s,s,n,n,n,n,s,s,n,n,course
n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,s,n,n,n,n,n,n,n,s,n,n,n,n,n,n,s,n,n,course
n,n,s,s,n,n,n,n,n,n,n,n,n,n,n,s,s,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,course
n,n,s,s,n,n,n,n,n,n,n,n,n,n,n,s,s,n,n,n,s,n,n,n,n,n,n,s,n,n,n,n,n,s,n,n,n,n,n,course
n,n,n,s,s,n,n,n,n,n,n,n,n,n,s,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,s,n,n,course
n,n,n,n,s,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,s,n,n,n,n,n,n,s,n,n,course
n,n,n,s,n,n,n,n,n,s,n,n,n,n,n,n,s,n,n,n,s,s,n,n,n,s,n,n,n,n,n,n,n,n,n,n,s,n,n,course
n,n,n,n,s,n,n,n,n,n,n,n,n,n,s,n,s,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,s,n,s,n,n,course
n,n,n,n,s,n,n,n,n,s,n,n,n,n,n,s,n,n,n,n,s,s,s,n,s,s,s,n,n,s,n,n,n,n,n,s,s,s,n,course
n,s,n,s,s,n,n,n,n,s,n,n,n,n,n,s,s,n,n,n,n,s,n,n,s,n,n,n,n,s,n,n,n,n,n,s,s,n,n,course
n,s,n,s,s,n,n,n,n,s,s,n,n,n,n,s,s,n,n,n,n,s,n,n,s,n,s,n,n,s,n,n,n,n,n,s,s,n,n,course
n,n,n,s,s,s,n,n,n,n,s,n,n,n,n,s,s,n,n,n,s,n,s,n,s,n,n,s,s,n,n,n,n,s,n,n,s,n,n,course
n,n,n,s,n,s,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,s,n,n,n,n,s,s,n,n,n,n,n,n,n,s,n,n,course
n,s,n,s,s,n,n,n,s,s,n,n,n,n,n,s,s,n,n,s,n,n,s,n,s,n,s,s,n,s,n,n,n,s,n,s,s,n,n,course
n,s,s,n,s,s,n,n,n,s,n,n,n,n,s,n,s,n,n,s,s,n,n,s,s,n,n,s,s,n,n,n,n,s,n,s,s,n,n,course
n,s,n,n,n,n,s,n,n,n,n,n,n,n,s,n,s,n,n,s,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,course
n,s,n,n,s,n,s,n,n,n,n,n,n,n,n,n,n,n,n,s,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,course
n,n,n,n,n,n,n,n,n,s,n,s,s,n,n,s,s,n,n,s,s,n,n,n,s,n,s,n,s,n,n,n,n,n,n,s,s,n,n,course
n,n,n,n,s,n,n,s,s,n,s,n,n,n,n,s,s,n,n,s,s,s,n,n,n,n,n,n,n,s,n,n,n,n,n,n,s,n,n,course
n,s,s,n,s,n,n,n,s,s,s,s,n,n,n,s,s,n,n,s,s,s,n,n,s,s,n,s,n,s,n,n,n,s,n,s,s,n,n,course
n,s,s,n,s,n,s,n,s,n,n,n,n,n,n,n,s,s,n,s,n,s,n,n,n,n,n,n,n,s,n,n,n,n,n,n,s,n,n,course
n,s,s,n,s,n,s,n,s,n,n,n,n,n,n,n,s,s,n,s,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,s,n,n,course
n,n,s,n,s,n,s,n,s,n,n,n,n,n,n,n,n,s,n,s,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,s,n,n,course
n,s,s,n,s,n,s,n,s,n,n,n,n,n,n,n,n,s,n,s,n,s,n,n,n,n,n,n,n,s,n,n,n,n,n,n,s,n,n,course
n,s,s,s,s,n,n,n,s,n,n,n,n,n,s,n,n,s,n,s,n,s,n,n,n,n,n,s,n,s,n,n,n,s,n,n,s,n,n,course
n,s,s,n,s,n,n,n,s,n,n,n,n,n,n,n,n,s,n,s,n,s,n,n,n,n,n,s,n,s,n,n,n,n,n,n,s,n,n,course
n,n,s,n,n,n,s,n,n,n,n,n,n,n,n,n,n,s,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,course
n,s,s,s,s,n,s,n,n,n,n,n,n,n,s,n,n,s,n,s,n,n,s,n,n,n,n,s,n,n,n,n,n,s,n,n,s,n,n,course
n,n,s,s,n,n,n,n,n,n,n,s,n,n,n,n,n,s,n,s,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,course
n,n,s,n,n,n,n,n,n,n,n,s,n,n,n,n,n,s,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,course
n,n,n,n,n,n,n,n,n,s,n,n,s,n,n,n,n,s,n,s,s,n,s,n,s,n,s,s,n,s,n,n,n,s,n,s,s,n,n,course
n,s,n,s,s,n,n,n,n,n,s,s,n,n,s,s,n,s,n,s,n,s,n,n,s,n,n,n,n,n,s,n,n,n,n,s,n,n,n,course
n,s,n,s,s,n,n,n,s,s,s,s,n,n,s,s,n,s,n,s,n,s,n,s,n,n,s,n,n,n,n,n,n,n,n,s,s,n,n,course
n,s,n,s,s,n,n,n,s,s,s,s,n,n,s,n,s,s,n,s,s,s,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,course
n,n,s,n,s,n,n,n,n,n,n,n,n,n,s,n,n,s,n,s,n,s,n,n,n,n,n,s,n,s,n,n,n,s,n,n,n,n,n,course
n,n,s,n,s,n,n,n,n,n,s,n,n,n,n,n,n,s,n,s,n,s,n,n,n,n,n,s,n,s,n,n,n,n,n,n,s,n,n,course
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,s,n,s,s,s,n,n,n,n,n,s,n,s,n,n,n,s,n,n,n,n,n,course
n,s,s,s,s,n,n,n,n,s,n,n,n,n,n,n,n,s,n,s,s,s,s,n,s,n,s,s,n,s,s,n,n,n,n,s,s,n,n,course
n,n,s,s,s,n,n,n,s,s,n,n,s,n,n,s,n,s,n,s,n,n,s,s,s,n,s,n,n,s,n,n,n,n,s,s,s,s,n,course
n,n,n,n,n,n,n,n,s,s,n,n,n,n,n,n,n,s,n,s,n,n,n,s,n,n,s,n,n,s,s,n,n,n,n,s,s,s,n,course
n,s,s,s,n,n,n,n,n,s,n,n,n,n,s,s,s,s,n,s,s,n,n,n,n,n,n,s,n,s,n,n,n,n,n,n,s,n,n,course
n,s,n,s,s,n,n,n,n,n,n,n,n,n,n,n,s,s,n,s,s,s,n,n,n,n,n,s,n,s,n,n,n,s,n,n,s,n,n,course
n,n,s,n,s,n,s,n,n,n,n,n,n,n,n,s,n,s,n,s,n,s,n,n,n,n,n,s,n,s,n,n,n,s,n,n,s,n,n,course
n,n,s,n,s,n,s,n,n,n,n,n,n,n,n,s,n,s,n,s,n,s,n,n,s,n,n,s,n,s,n,n,n,s,n,n,s,n,n,course
